345.80	-22.051
346.01	-22.187
346.23	-22.323
346.44	-4.791
346.66	-15.951
346.87	36.526
347.09	225.822
347.30	112.552
347.52	-5.805
347.73	-14.953
347.95	-54.164
348.16	-5.229
348.38	-9.019
348.59	17.440
348.81	-10.100
349.02	-21.009
349.24	-18.032
349.45	-10.501
349.67	47.675
349.88	43.702
350.10	24.648
350.31	302.138
350.53	60.629
350.74	45.584
350.96	67.052
351.17	34.807
351.38	239.601
351.60	149.688
351.81	60.608
352.03	-226.206
352.24	52.162
352.46	74.206
352.67	67.679
352.89	47.414
353.10	70.400
353.32	31.775
353.53	1028.394
353.75	98.002
353.96	35.605
354.17	72.362
354.39	107.051
354.60	42.991
354.82	74.425
355.03	265.818
355.25	82.038
355.46	125.507
355.68	83.736
355.89	55.985
356.11	50.304
356.32	144.649
356.53	331.515
356.75	837.549
356.96	66.582
357.18	90.237
357.39	57.991
357.61	208.617
357.82	29.705
358.04	37.925
358.25	45.120
358.46	117.725
358.68	56.131
358.89	32.023
359.11	252.039
359.32	38.306
359.54	133.044
359.75	54.466
359.96	58.872
360.18	172.781
360.39	31.132
360.61	75.743
360.82	71.955
361.04	125.889
361.25	106.336
361.46	164.319
361.68	70.742
361.89	46.834
362.11	75.029
362.32	208.558
362.54	51.431
362.75	43.913
362.96	70.380
363.18	67.747
363.39	61.245
363.61	115.464
363.82	2301.274
364.03	113.864
364.25	52.875
364.46	35.868
364.68	91.766
364.89	165.977
365.10	66.585
365.32	44.327
365.53	113.346
365.75	103.669
365.96	127.800
366.17	78.451
366.39	68.168
366.60	95.412
366.82	103.296
367.03	101.459
367.24	73.404
367.46	60.813
367.67	72.263
367.89	117.579
368.10	317.539
368.31	88.808
368.53	121.463
368.74	85.660
368.96	77.208
369.17	99.335
369.38	53.871
369.60	135.981
369.81	302.041
370.03	71.305
370.24	76.375
370.45	103.426
370.67	66.629
370.88	117.314
371.09	356.847
371.31	96.396
371.52	68.747
371.74	120.272
371.95	66.725
372.16	52.331
372.38	53.210
372.59	60.139
372.81	96.295
373.02	75.681
373.23	124.374
373.45	106.459
373.66	60.535
373.87	67.447
374.09	71.326
374.30	130.981
374.51	47.943
374.73	54.141
374.94	53.887
375.16	57.512
375.37	106.159
375.58	81.694
375.80	115.157
376.01	48.778
376.22	114.912
376.44	97.639
376.65	58.709
376.86	71.166
377.08	58.494
377.29	57.306
377.50	89.294
377.72	163.372
377.93	219.981
378.15	85.596
378.36	72.180
378.57	79.671
378.79	82.879
379.00	75.178
379.21	64.496
379.43	75.640
379.64	57.259
379.85	103.055
380.07	63.320
380.28	57.853
380.49	53.898
380.71	55.429
380.92	56.161
381.13	78.090
381.35	70.141
381.56	66.221
381.77	85.887
381.99	48.903
382.20	71.864
382.41	48.468
382.63	78.029
382.84	66.337
383.05	53.833
383.27	56.371
383.48	49.035
383.69	42.951
383.91	41.433
384.12	45.723
384.33	48.047
384.55	66.325
384.76	57.618
384.97	56.246
385.18	62.005
385.40	125.192
385.61	79.326
385.82	65.350
386.04	69.268
386.25	81.276
386.46	73.362
386.68	54.859
386.89	57.858
387.10	66.802
387.32	58.400
387.53	46.742
387.74	62.974
387.95	49.337
388.17	54.095
388.38	59.979
388.59	61.948
388.81	81.917
389.02	56.975
389.23	71.944
389.45	67.821
389.66	59.469
389.87	69.569
390.08	58.629
390.30	118.454
390.51	71.812
390.72	84.914
390.94	82.161
391.15	80.742
391.36	87.666
391.57	74.475
391.79	87.816
392.00	75.813
392.21	63.656
392.43	72.160
392.64	75.485
392.85	60.421
393.06	53.322
393.28	55.574
393.49	48.120
393.70	48.104
393.92	49.789
394.13	37.847
394.34	46.744
394.55	70.927
394.77	61.590
394.98	55.694
395.19	87.898
395.40	62.614
395.62	68.706
395.83	95.615
396.04	62.887
396.26	76.502
396.47	63.243
396.68	69.283
396.89	50.438
397.11	64.264
397.32	57.562
397.53	49.798
397.74	54.757
397.96	54.666
398.17	57.526
398.38	58.231
398.59	70.877
398.81	92.405
399.02	81.689
399.23	88.467
399.44	98.676
399.66	84.812
399.87	98.294
400.08	102.794
400.29	112.709
400.51	92.796
400.72	81.104
400.93	93.617
401.14	112.467
401.36	101.309
401.57	130.373
401.78	97.702
401.99	86.487
402.21	89.692
402.42	94.032
402.63	104.434
402.84	116.287
403.05	81.160
403.27	89.001
403.48	83.318
403.69	95.147
403.90	77.091
404.12	119.324
404.33	88.734
404.54	91.682
404.75	96.871
404.96	89.680
405.18	94.399
405.39	94.068
405.60	90.794
405.81	82.735
406.03	84.095
406.24	82.329
406.45	82.232
406.66	85.395
406.87	87.322
407.09	87.014
407.30	88.075
407.51	86.996
407.72	91.105
407.93	86.956
408.15	95.967
408.36	83.530
408.57	73.694
408.78	87.473
409.00	78.250
409.21	95.716
409.42	83.411
409.63	92.263
409.84	81.919
410.06	85.777
410.27	72.286
410.48	83.012
410.69	100.204
410.90	83.252
411.12	80.975
411.33	93.072
411.54	88.364
411.75	75.766
411.96	80.139
412.17	79.820
412.39	84.214
412.60	82.246
412.81	84.117
413.02	88.295
413.23	83.682
413.45	74.659
413.66	92.647
413.87	76.928
414.08	89.834
414.29	91.464
414.50	83.596
414.72	87.958
414.93	80.465
415.14	92.960
415.35	75.517
415.56	95.689
415.77	88.316
415.99	107.072
416.20	88.814
416.41	78.098
416.62	92.691
416.83	74.895
417.04	92.627
417.26	76.012
417.47	89.450
417.68	77.857
417.89	79.225
418.10	81.657
418.31	74.691
418.53	75.589
418.74	84.916
418.95	76.203
419.16	87.241
419.37	81.109
419.58	92.386
